"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"12739","203291_at","CNOT4","4850","CCR4-NOT transcription complex subunit 4"
"12740","203292_s_at","VPS11","55823","VPS11 core subunit of CORVET and HOPS complexes"
"12741","203293_s_at","LMAN1","3998","lectin, mannose binding 1"
"12742","203294_s_at","LMAN1","3998","lectin, mannose binding 1"
"12743","203295_s_at","ATP1A2","477","ATPase Na+/K+ transporting subunit alpha 2"
"12744","203296_s_at","ATP1A2","477","ATPase Na+/K+ transporting subunit alpha 2"
"12745","203297_s_at","JARID2","3720","jumonji and AT-rich interaction domain containing 2"
"12746","203298_s_at","JARID2","3720","jumonji and AT-rich interaction domain containing 2"
"12747","203299_s_at","AP1S2","8905","adaptor related protein complex 1 subunit sigma 2"
"12748","203300_x_at","AP1S2","8905","adaptor related protein complex 1 subunit sigma 2"
"12749","203301_s_at","DMTF1","9988","cyclin D binding myb like transcription factor 1"
"12750","203302_at","DCK","1633","deoxycytidine kinase"
"12751","203303_at","DYNLT3","6990","dynein light chain Tctex-type 3"
"12752","203304_at","BAMBI","25805","BMP and activin membrane bound inhibitor"
"12753","203305_at","F13A1","2162","coagulation factor XIII A chain"
"12754","203306_s_at","SLC35A1","10559","solute carrier family 35 member A1"
"12755","203307_at","GNL1","2794","G protein nucleolar 1 (putative)"
"12756","203308_x_at","HPS1","3257","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"
"12757","203309_s_at","HPS1","3257","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"
"12758","203310_at","STXBP3","6814","syntaxin binding protein 3"
"12759","203311_s_at","ARF6","382","ADP ribosylation factor 6"
"12760","203312_x_at","ARF6","382","ADP ribosylation factor 6"
"12761","203313_s_at","TGIF1","7050","TGFB induced factor homeobox 1"
"12762","203314_at","GTPBP6","8225","GTP binding protein 6 (putative)"
"12763","203315_at","NCK2","8440","NCK adaptor protein 2"
"12764","203316_s_at","SNRPE","6635","small nuclear ribonucleoprotein polypeptide E"
"12765","203317_at","PSD4","23550","pleckstrin and Sec7 domain containing 4"
"12766","203318_s_at","ZNF148","7707","zinc finger protein 148"
"12767","203319_s_at","ZNF148","7707","zinc finger protein 148"
"12768","203320_at","SH2B3","10019","SH2B adaptor protein 3"
"12769","203321_s_at","ADNP2","22850","ADNP homeobox 2"
"12770","203322_at","ADNP2","22850","ADNP homeobox 2"
"12771","203323_at","CAV2","858","caveolin 2"
"12772","203324_s_at","CAV2","858","caveolin 2"
"12773","203325_s_at","COL5A1","1289","collagen type V alpha 1 chain"
"12774","203326_x_at","NA","NA","NA"
"12775","203327_at","IDE","3416","insulin degrading enzyme"
"12776","203328_x_at","IDE","3416","insulin degrading enzyme"
"12777","203329_at","PTPRM","5797","protein tyrosine phosphatase receptor type M"
"12778","203330_s_at","STX5","6811","syntaxin 5"
"12779","203331_s_at","INPP5D","3635","inositol polyphosphate-5-phosphatase D"
"12780","203332_s_at","INPP5D","3635","inositol polyphosphate-5-phosphatase D"
"12781","203333_at","KIFAP3","22920","kinesin associated protein 3"
"12782","203334_at","DHX8","1659","DEAH-box helicase 8"
"12783","203335_at","PHYH","5264","phytanoyl-CoA 2-hydroxylase"
"12784","203336_s_at","ITGB1BP1","9270","integrin subunit beta 1 binding protein 1"
"12785","203337_x_at","ITGB1BP1","9270","integrin subunit beta 1 binding protein 1"
"12786","203338_at","PPP2R5E","5529","protein phosphatase 2 regulatory subunit B'epsilon"
"12787","203339_at","SLC25A12","8604","solute carrier family 25 member 12"
"12788","203340_s_at","SLC25A12","8604","solute carrier family 25 member 12"
"12789","203341_at","CEBPZ","10153","CCAAT enhancer binding protein zeta"
"12790","203342_at","TIMM17B","10245","translocase of inner mitochondrial membrane 17B"
"12791","203343_at","UGDH","7358","UDP-glucose 6-dehydrogenase"
"12792","203344_s_at","RBBP8","5932","RB binding protein 8, endonuclease"
"12793","203345_s_at","MTF2","22823","metal response element binding transcription factor 2"
"12794","203346_s_at","MTF2","22823","metal response element binding transcription factor 2"
"12795","203347_s_at","MTF2","22823","metal response element binding transcription factor 2"
"12796","203348_s_at","ETV5","2119","ETS variant transcription factor 5"
"12797","203349_s_at","ETV5","2119","ETS variant transcription factor 5"
"12798","203350_at","AP1G1","164","adaptor related protein complex 1 subunit gamma 1"
"12799","203351_s_at","ORC4","5000","origin recognition complex subunit 4"
"12800","203352_at","ORC4","5000","origin recognition complex subunit 4"
"12801","203353_s_at","MBD1","4152","methyl-CpG binding domain protein 1"
"12802","203354_s_at","PSD3","23362","pleckstrin and Sec7 domain containing 3"
"12803","203355_s_at","PSD3","23362","pleckstrin and Sec7 domain containing 3"
"12804","203356_at","CAPN7","23473","calpain 7"
"12805","203357_s_at","CAPN7","23473","calpain 7"
"12806","203358_s_at","EZH2","2146","enhancer of zeste 2 polycomb repressive complex 2 subunit"
"12807","203359_s_at","MYCBP, GJA9-MYCBP","26292, 100527950","MYC binding protein, GJA9-MYCBP readthrough"
"12808","203360_s_at","MYCBP, GJA9-MYCBP","26292, 100527950","MYC binding protein, GJA9-MYCBP readthrough"
"12809","203361_s_at","MYCBP, GJA9-MYCBP","26292, 100527950","MYC binding protein, GJA9-MYCBP readthrough"
"12810","203362_s_at","MAD2L1","4085","mitotic arrest deficient 2 like 1"
"12811","203363_s_at","ATG13","9776","autophagy related 13"
"12812","203364_s_at","ATG13","9776","autophagy related 13"
"12813","203365_s_at","MMP15","4324","matrix metallopeptidase 15"
"12814","203366_at","POLG","5428","DNA polymerase gamma, catalytic subunit"
"12815","203367_at","DUSP14","11072","dual specificity phosphatase 14"
"12816","203368_at","CRELD1","78987","cysteine rich with EGF like domains 1"
"12817","203369_x_at","PDLIM7","9260","PDZ and LIM domain 7"
"12818","203370_s_at","PDLIM7","9260","PDZ and LIM domain 7"
"12819","203371_s_at","NDUFB3","4709","NADH:ubiquinone oxidoreductase subunit B3"
"12820","203372_s_at","SOCS2","8835","suppressor of cytokine signaling 2"
"12821","203373_at","SOCS2","8835","suppressor of cytokine signaling 2"
"12822","203374_s_at","TPP2","7174","tripeptidyl peptidase 2"
"12823","203375_s_at","TPP2","7174","tripeptidyl peptidase 2"
"12824","203376_at","CDC40","51362","cell division cycle 40"
"12825","203377_s_at","CDC40","51362","cell division cycle 40"
"12826","203378_at","PCF11","51585","PCF11 cleavage and polyadenylation factor subunit"
"12827","203379_at","RPS6KA1","6195","ribosomal protein S6 kinase A1"
"12828","203380_x_at","SRSF5","6430","serine and arginine rich splicing factor 5"
"12829","203381_s_at","APOE","348","apolipoprotein E"
"12830","203382_s_at","APOE","348","apolipoprotein E"
"12831","203383_s_at","GOLGA1","2800","golgin A1"
"12832","203384_s_at","GOLGA1","2800","golgin A1"
"12833","203385_at","DGKA","1606","diacylglycerol kinase alpha"
"12834","203386_at","TBC1D4","9882","TBC1 domain family member 4"
"12835","203387_s_at","TBC1D4","9882","TBC1 domain family member 4"
"12836","203388_at","ARRB2","409","arrestin beta 2"
"12837","203389_at","KIF3C","3797","kinesin family member 3C"
"12838","203390_s_at","KIF3C","3797","kinesin family member 3C"
"12839","203391_at","FKBP2","2286","FKBP prolyl isomerase 2"
"12840","203392_s_at","CTBP1","1487","C-terminal binding protein 1"
"12841","203393_at","HES1","3280","hes family bHLH transcription factor 1"
"12842","203394_s_at","HES1","3280","hes family bHLH transcription factor 1"
"12843","203395_s_at","HES1","3280","hes family bHLH transcription factor 1"
"12844","203396_at","PSMA4","5685","proteasome 20S subunit alpha 4"
"12845","203397_s_at","GALNT3","2591","polypeptide N-acetylgalactosaminyltransferase 3"
"12846","203398_s_at","GALNT3","2591","polypeptide N-acetylgalactosaminyltransferase 3"
"12847","203399_x_at","PSG3","5671","pregnancy specific beta-1-glycoprotein 3"
"12848","203400_s_at","TF","7018","transferrin"
"12849","203401_at","PRPS2","5634","phosphoribosyl pyrophosphate synthetase 2"
"12850","203402_at","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"12851","203403_s_at","RNF6","6049","ring finger protein 6"
"12852","203404_at","ARMCX2","9823","armadillo repeat containing X-linked 2"
"12853","203405_at","PSMG1","8624","proteasome assembly chaperone 1"
"12854","203406_at","MFAP1","4236","microfibril associated protein 1"
"12855","203407_at","PPL","5493","periplakin"
"12856","203408_s_at","SATB1","6304","SATB homeobox 1"
"12857","203409_at","DDB2","1643","damage specific DNA binding protein 2"
"12858","203410_at","AP3M2","10947","adaptor related protein complex 3 subunit mu 2"
"12859","203411_s_at","LMNA","4000","lamin A/C"
"12860","203412_at","LZTR1","8216","leucine zipper like transcription regulator 1"
"12861","203413_at","NELL2","4753","neural EGFL like 2"
"12862","203414_at","MMD","23531","monocyte to macrophage differentiation associated"
"12863","203415_at","PDCD6","10016","programmed cell death 6"
"12864","203416_at","CD53","963","CD53 molecule"
"12865","203417_at","MFAP2","4237","microfibril associated protein 2"
"12866","203418_at","CCNA2","890","cyclin A2"
"12867","203419_at","KMT2B","9757","lysine methyltransferase 2B"
"12868","203420_at","FAM8A1","51439","family with sequence similarity 8 member A1"
"12869","203421_at","TP53I11","9537","tumor protein p53 inducible protein 11"
"12870","203422_at","POLD1","5424","DNA polymerase delta 1, catalytic subunit"
"12871","203423_at","RBP1","5947","retinol binding protein 1"
"12872","203424_s_at","IGFBP5","3488","insulin like growth factor binding protein 5"
"12873","203425_s_at","IGFBP5","3488","insulin like growth factor binding protein 5"
"12874","203426_s_at","IGFBP5","3488","insulin like growth factor binding protein 5"
"12875","203427_at","ASF1A","25842","anti-silencing function 1A histone chaperone"
"12876","203428_s_at","ASF1A","25842","anti-silencing function 1A histone chaperone"
"12877","203429_s_at","SUCO","51430","SUN domain containing ossification factor"
"12878","203430_at","HEBP2","23593","heme binding protein 2"
"12879","203431_s_at","ARHGAP32","9743","Rho GTPase activating protein 32"
"12880","203432_at","TMPO","7112","thymopoietin"
"12881","203433_at","MTHFS, ST20-MTHFS","10588, 100528021","methenyltetrahydrofolate synthetase, ST20-MTHFS readthrough"
"12882","203434_s_at","MME","4311","membrane metalloendopeptidase"
"12883","203435_s_at","MME","4311","membrane metalloendopeptidase"
"12884","203436_at","RPP30","10556","ribonuclease P/MRP subunit p30"
"12885","203437_at","TMEM11","8834","transmembrane protein 11"
"12886","203438_at","STC2","8614","stanniocalcin 2"
"12887","203439_s_at","STC2","8614","stanniocalcin 2"
"12888","203440_at","CDH2","1000","cadherin 2"
"12889","203441_s_at","CDH2","1000","cadherin 2"
"12890","203442_x_at","EML3","256364","EMAP like 3"
"12891","203443_at","EML3","256364","EMAP like 3"
"12892","203444_s_at","MTA2","9219","metastasis associated 1 family member 2"
"12893","203445_s_at","CTDSP2","10106","CTD small phosphatase 2"
"12894","203446_s_at","OCRL","4952","OCRL inositol polyphosphate-5-phosphatase"
"12895","203447_at","PSMD5","5711","proteasome 26S subunit, non-ATPase 5"
"12896","203448_s_at","TERF1","7013","telomeric repeat binding factor 1"
"12897","203449_s_at","TERF1","7013","telomeric repeat binding factor 1"
"12898","203450_at","CBY1","25776","chibby family member 1, beta catenin antagonist"
"12899","203451_at","LDB1","8861","LIM domain binding 1"
"12900","203452_at","B3GAT3","26229","beta-1,3-glucuronyltransferase 3"
"12901","203453_at","SCNN1A","6337","sodium channel epithelial 1 subunit alpha"
"12902","203454_s_at","ATOX1","475","antioxidant 1 copper chaperone"
"12903","203455_s_at","SAT1","6303","spermidine/spermine N1-acetyltransferase 1"
"12904","203456_at","PRAF2","11230","PRA1 domain family member 2"
"12905","203457_at","STX7","8417","syntaxin 7"
"12906","203458_at","SPR","6697","sepiapterin reductase"
"12907","203459_s_at","VPS16","64601","VPS16 core subunit of CORVET and HOPS complexes"
"12908","203460_s_at","PSEN1","5663","presenilin 1"
"12909","203461_at","CHD2","1106","chromodomain helicase DNA binding protein 2"
"12910","203462_x_at","EIF3B","8662","eukaryotic translation initiation factor 3 subunit B"
"12911","203463_s_at","EPN2","22905","epsin 2"
"12912","203464_s_at","EPN2","22905","epsin 2"
"12913","203465_at","MRPL19","9801","mitochondrial ribosomal protein L19"
"12914","203466_at","MPV17","4358","mitochondrial inner membrane protein MPV17"
"12915","203467_at","PMM1","5372","phosphomannomutase 1"
"12916","203468_at","CDK10","8558","cyclin dependent kinase 10"
"12917","203469_s_at","CDK10","8558","cyclin dependent kinase 10"
"12918","203470_s_at","PLEK","5341","pleckstrin"
"12919","203471_s_at","PLEK","5341","pleckstrin"
"12920","203472_s_at","SLCO2B1","11309","solute carrier organic anion transporter family member 2B1"
"12921","203473_at","SLCO2B1","11309","solute carrier organic anion transporter family member 2B1"
"12922","203474_at","IQGAP2","10788","IQ motif containing GTPase activating protein 2"
"12923","203475_at","CYP19A1","1588","cytochrome P450 family 19 subfamily A member 1"
"12924","203476_at","TPBG","7162","trophoblast glycoprotein"
"12925","203477_at","COL15A1","1306","collagen type XV alpha 1 chain"
"12926","203478_at","NDUFC1","4717","NADH:ubiquinone oxidoreductase subunit C1"
"12927","203479_s_at","OTUD4","54726","OTU deubiquitinase 4"
"12928","203480_s_at","OTUD4","54726","OTU deubiquitinase 4"
"12929","203481_at","SLF2","55719","SMC5-SMC6 complex localization factor 2"
"12930","203482_at","SLF2","55719","SMC5-SMC6 complex localization factor 2"
"12931","203483_at","SLF2, SEMA4G","55719, 57715","SMC5-SMC6 complex localization factor 2, semaphorin 4G"
"12932","203484_at","SEC61G","23480","SEC61 translocon subunit gamma"
"12933","203485_at","RTN1","6252","reticulon 1"
"12934","203486_s_at","ARMC8","25852","armadillo repeat containing 8"
"12935","203487_s_at","ARMC8","25852","armadillo repeat containing 8"
"12936","203488_at","ADGRL1","22859","adhesion G protein-coupled receptor L1"
"12937","203489_at","SIVA1","10572","SIVA1 apoptosis inducing factor"
"12938","203490_at","ELF4","2000","E74 like ETS transcription factor 4"
"12939","203491_s_at","CEP57","9702","centrosomal protein 57"
"12940","203492_x_at","CEP57","9702","centrosomal protein 57"
"12941","203493_s_at","CEP57","9702","centrosomal protein 57"
"12942","203494_s_at","CEP57","9702","centrosomal protein 57"
"12943","203495_at","LRRC14","9684","leucine rich repeat containing 14"
"12944","203496_s_at","MED1","5469","mediator complex subunit 1"
"12945","203497_at","MED1","5469","mediator complex subunit 1"
"12946","203498_at","RCAN2","10231","regulator of calcineurin 2"
"12947","203499_at","EPHA2","1969","EPH receptor A2"
"12948","203500_at","GCDH","2639","glutaryl-CoA dehydrogenase"
"12949","203501_at","CPQ","10404","carboxypeptidase Q"
"12950","203502_at","BPGM","669","bisphosphoglycerate mutase"
"12951","203503_s_at","PEX14","5195","peroxisomal biogenesis factor 14"
"12952","203504_s_at","ABCA1","19","ATP binding cassette subfamily A member 1"
"12953","203505_at","ABCA1","19","ATP binding cassette subfamily A member 1"
"12954","203506_s_at","MED12","9968","mediator complex subunit 12"
"12955","203507_at","CD68","968","CD68 molecule"
"12956","203508_at","TNFRSF1B","7133","TNF receptor superfamily member 1B"
"12957","203509_at","SORL1","6653","sortilin related receptor 1"
"12958","203510_at","MET","4233","MET proto-oncogene, receptor tyrosine kinase"
"12959","203511_s_at","TRAPPC3","27095","trafficking protein particle complex subunit 3"
"12960","203512_at","TRAPPC3","27095","trafficking protein particle complex subunit 3"
"12961","203513_at","SPG11","80208","SPG11 vesicle trafficking associated, spatacsin"
"12962","203514_at","MAP3K3","4215","mitogen-activated protein kinase kinase kinase 3"
"12963","203515_s_at","PMVK","10654","phosphomevalonate kinase"
"12964","203516_at","SNTA1","6640","syntrophin alpha 1"
"12965","203517_at","MTX2","10651","metaxin 2"
"12966","203518_at","LYST","1130","lysosomal trafficking regulator"
"12967","203519_s_at","UPF2","26019","UPF2 regulator of nonsense mediated mRNA decay"
"12968","203520_s_at","ZNF318","24149","zinc finger protein 318"
"12969","203521_s_at","ZNF318","24149","zinc finger protein 318"
"12970","203522_at","CCS","9973","copper chaperone for superoxide dismutase"
"12971","203523_at","LSP1","4046","lymphocyte specific protein 1"
"12972","203524_s_at","MPST","4357","mercaptopyruvate sulfurtransferase"
"12973","203525_s_at","APC","324","APC regulator of WNT signaling pathway"
"12974","203526_s_at","APC","324","APC regulator of WNT signaling pathway"
"12975","203527_s_at","APC","324","APC regulator of WNT signaling pathway"
"12976","203528_at","SEMA4D","10507","semaphorin 4D"
"12977","203529_at","PPP6C","5537","protein phosphatase 6 catalytic subunit"
"12978","203530_s_at","STX4","6810","syntaxin 4"
"12979","203531_at","CUL5","8065","cullin 5"
"12980","203532_x_at","CUL5","8065","cullin 5"
"12981","203533_s_at","CUL5","8065","cullin 5"
"12982","203534_at","LSM1","27257","LSM1 homolog, mRNA degradation associated"
"12983","203535_at","S100A9","6280","S100 calcium binding protein A9"
"12984","203536_s_at","CIAO1","9391","cytosolic iron-sulfur assembly component 1"
"12985","203537_at","PRPSAP2","5636","phosphoribosyl pyrophosphate synthetase associated protein 2"
"12986","203538_at","CAMLG","819","calcium modulating ligand"
"12987","203539_s_at","GFAP","2670","glial fibrillary acidic protein"
"12988","203540_at","GFAP","2670","glial fibrillary acidic protein"
"12989","203541_s_at","KLF9","687","KLF transcription factor 9"
"12990","203542_s_at","KLF9","687","KLF transcription factor 9"
"12991","203543_s_at","KLF9","687","KLF transcription factor 9"
"12992","203544_s_at","STAM","8027","signal transducing adaptor molecule"
"12993","203545_at","ALG8","79053","ALG8 alpha-1,3-glucosyltransferase"
"12994","203546_at","IPO13","9670","importin 13"
"12995","203547_at","CD4","920","CD4 molecule"
"12996","203548_s_at","LPL","4023","lipoprotein lipase"
"12997","203549_s_at","LPL","4023","lipoprotein lipase"
"12998","203550_s_at","ENTREP3","10712","endosomal transmembrane epsin interactor 3"
"12999","203551_s_at","COX11","1353","cytochrome c oxidase copper chaperone COX11"
"13000","203552_at","MAP4K5","11183","mitogen-activated protein kinase kinase kinase kinase 5"
"13001","203553_s_at","MAP4K5","11183","mitogen-activated protein kinase kinase kinase kinase 5"
"13002","203554_x_at","PTTG1","9232","PTTG1 regulator of sister chromatid separation, securin"
"13003","203555_at","PTPN18","26469","protein tyrosine phosphatase non-receptor type 18"
"13004","203556_at","ZHX2","22882","zinc fingers and homeoboxes 2"
"13005","203557_s_at","PCBD1","5092","pterin-4 alpha-carbinolamine dehydratase 1"
"13006","203558_at","CUL7","9820","cullin 7"
"13007","203559_s_at","AOC1","26","amine oxidase copper containing 1"
"13008","203560_at","GGH","8836","gamma-glutamyl hydrolase"
"13009","203561_at","FCGR2A, FCGR2C","2212, 9103","Fc gamma receptor IIa, Fc gamma receptor IIc (gene/pseudogene)"
"13010","203562_at","FEZ1","9638","fasciculation and elongation protein zeta 1"
"13011","203563_at","AFAP1","60312","actin filament associated protein 1"
"13012","203564_at","FANCG","2189","FA complementation group G"
"13013","203565_s_at","MNAT1","4331","MNAT1 component of CDK activating kinase"
"13014","203566_s_at","AGL","178","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
"13015","203567_s_at","TRIM38","10475","tripartite motif containing 38"
"13016","203568_s_at","TRIM38","10475","tripartite motif containing 38"
"13017","203569_s_at","OFD1","8481","OFD1 centriole and centriolar satellite protein"
"13018","203570_at","LOXL1","4016","lysyl oxidase like 1"
"13019","203571_s_at","ADIRF","10974","adipogenesis regulatory factor"
"13020","203572_s_at","TAF6","6878","TATA-box binding protein associated factor 6"
"13021","203573_s_at","RABGGTA","5875","Rab geranylgeranyltransferase subunit alpha"
"13022","203574_at","NFIL3","4783","nuclear factor, interleukin 3 regulated"
"13023","203575_at","CSNK2A2","1459","casein kinase 2 alpha 2"
"13024","203576_at","BCAT2","587","branched chain amino acid transaminase 2"
"13025","203577_at","GTF2H4","2968","general transcription factor IIH subunit 4"
"13026","203578_s_at","SLC7A6","9057","solute carrier family 7 member 6"
"13027","203579_s_at","SLC7A6","9057","solute carrier family 7 member 6"
"13028","203580_s_at","SLC7A6","9057","solute carrier family 7 member 6"
"13029","203581_at","RAB4A","5867","RAB4A, member RAS oncogene family"
"13030","203582_s_at","RAB4A","5867","RAB4A, member RAS oncogene family"
"13031","203583_at","UNC50","25972","unc-50 inner nuclear membrane RNA binding protein"
"13032","203584_at","EMC2","9694","ER membrane protein complex subunit 2"
"13033","203585_at","ZNF185","7739","zinc finger protein 185 with LIM domain"
"13034","203586_s_at","ARL4D","379","ADP ribosylation factor like GTPase 4D"
"13035","203587_at","ARL4D","379","ADP ribosylation factor like GTPase 4D"
"13036","203588_s_at","TFDP2","7029","transcription factor Dp-2"
"13037","203589_s_at","TFDP2","7029","transcription factor Dp-2"
"13038","203590_at","DYNC1LI2","1783","dynein cytoplasmic 1 light intermediate chain 2"
"13039","203591_s_at","CSF3R","1441","colony stimulating factor 3 receptor"
"13040","203592_s_at","FSTL3","10272","follistatin like 3"
"13041","203593_at","CD2AP","23607","CD2 associated protein"
"13042","203594_at","RTCA","8634","RNA 3'-terminal phosphate cyclase"
"13043","203595_s_at","IFIT5","24138","interferon induced protein with tetratricopeptide repeats 5"
"13044","203596_s_at","IFIT5","24138","interferon induced protein with tetratricopeptide repeats 5"
"13045","203597_s_at","WBP4","11193","WW domain binding protein 4"
"13046","203598_s_at","WBP4","11193","WW domain binding protein 4"
"13047","203599_s_at","WBP4","11193","WW domain binding protein 4"
"13048","203600_s_at","FAM193A","8603","family with sequence similarity 193 member A"
"13049","203601_s_at","ZBTB17","7709","zinc finger and BTB domain containing 17"
"13050","203602_s_at","ZBTB17","7709","zinc finger and BTB domain containing 17"
"13051","203603_s_at","ZEB2","9839","zinc finger E-box binding homeobox 2"
"13052","203604_at","ZNF516","9658","zinc finger protein 516"
"13053","203605_at","SRP54","6729","signal recognition particle 54"
"13054","203606_at","NDUFS6","4726","NADH:ubiquinone oxidoreductase subunit S6"
"13055","203607_at","INPP5F","22876","inositol polyphosphate-5-phosphatase F"
"13056","203608_at","ALDH5A1","7915","aldehyde dehydrogenase 5 family member A1"
"13057","203609_s_at","ALDH5A1","7915","aldehyde dehydrogenase 5 family member A1"
"13058","203610_s_at","TRIM38","10475","tripartite motif containing 38"
"13059","203611_at","TERF2","7014","telomeric repeat binding factor 2"
"13060","203612_at","BYSL","705","bystin like"
"13061","203613_s_at","NDUFB6","4712","NADH:ubiquinone oxidoreductase subunit B6"
"13062","203614_at","UTP14C","9724","UTP14C small subunit processome component"
"13063","203615_x_at","SULT1A1","6817","sulfotransferase family 1A member 1"
"13064","203616_at","POLB","5423","DNA polymerase beta"
"13065","203617_x_at","ELK1","2002","ETS transcription factor ELK1"
"13066","203618_at","FAIM2","23017","Fas apoptotic inhibitory molecule 2"
"13067","203619_s_at","FAIM2","23017","Fas apoptotic inhibitory molecule 2"
"13068","203620_s_at","FCHSD2","9873","FCH and double SH3 domains 2"
"13069","203621_at","NDUFB5","4711","NADH:ubiquinone oxidoreductase subunit B5"
"13070","203622_s_at","PNO1","56902","partner of NOB1 homolog"
"13071","203623_at","PLXNA3","55558","plexin A3"
"13072","203624_at","AKAP17A","8227","A-kinase anchoring protein 17A"
"13073","203625_x_at","SKP2","6502","S-phase kinase associated protein 2"
"13074","203626_s_at","SKP2","6502","S-phase kinase associated protein 2"
"13075","203627_at","IGF1R","3480","insulin like growth factor 1 receptor"
"13076","203628_at","IGF1R","3480","insulin like growth factor 1 receptor"
"13077","203629_s_at","COG5","10466","component of oligomeric golgi complex 5"
"13078","203630_s_at","COG5","10466","component of oligomeric golgi complex 5"
"13079","203631_s_at","GPRC5B","51704","G protein-coupled receptor class C group 5 member B"
"13080","203632_s_at","GPRC5B","51704","G protein-coupled receptor class C group 5 member B"
"13081","203633_at","CPT1A","1374","carnitine palmitoyltransferase 1A"
"13082","203634_s_at","CPT1A","1374","carnitine palmitoyltransferase 1A"
"13083","203635_at","VPS26C","10311","VPS26 endosomal protein sorting factor C"
"13084","203636_at","MID1","4281","midline 1"
"13085","203637_s_at","MID1","4281","midline 1"
"13086","203638_s_at","FGFR2","2263","fibroblast growth factor receptor 2"
"13087","203639_s_at","FGFR2","2263","fibroblast growth factor receptor 2"
"13088","203640_at","MBNL2","10150","muscleblind like splicing regulator 2"
"13089","203641_s_at","COBLL1","22837","cordon-bleu WH2 repeat protein like 1"
"13090","203642_s_at","COBLL1","22837","cordon-bleu WH2 repeat protein like 1"
"13091","203643_at","ERF","2077","ETS2 repressor factor"
"13092","203644_s_at","MON1B","22879","MON1 homolog B, secretory trafficking associated"
"13093","203645_s_at","CD163","9332","CD163 molecule"
"13094","203646_at","FDX1","2230","ferredoxin 1"
"13095","203647_s_at","FDX1","2230","ferredoxin 1"
"13096","203648_at","TATDN2","9797","TatD DNase domain containing 2"
"13097","203649_s_at","PLA2G2A","5320","phospholipase A2 group IIA"
"13098","203650_at","PROCR","10544","protein C receptor"
"13099","203651_at","ZFYVE16","9765","zinc finger FYVE-type containing 16"
"13100","203652_at","MAP3K11","4296","mitogen-activated protein kinase kinase kinase 11"
"13101","203653_s_at","COIL","8161","coilin"
"13102","203654_s_at","COIL","8161","coilin"
"13103","203655_at","XRCC1","7515","X-ray repair cross complementing 1"
"13104","203656_at","FIG4","9896","FIG4 phosphoinositide 5-phosphatase"
"13105","203657_s_at","CTSF","8722","cathepsin F"
"13106","203658_at","SLC25A20","788","solute carrier family 25 member 20"
"13107","203659_s_at","TRIM13","10206","tripartite motif containing 13"
"13108","203660_s_at","PCNT","5116","pericentrin"
"13109","203661_s_at","TMOD1","7111","tropomodulin 1"
"13110","203662_s_at","TMOD1","7111","tropomodulin 1"
"13111","203663_s_at","COX5A","9377","cytochrome c oxidase subunit 5A"
"13112","203664_s_at","POLR2D","5433","RNA polymerase II subunit D"
"13113","203665_at","HMOX1","3162","heme oxygenase 1"
"13114","203666_at","CXCL12","6387","C-X-C motif chemokine ligand 12"
"13115","203667_at","TBCA","6902","tubulin folding cofactor A"
"13116","203668_at","MAN2C1","4123","mannosidase alpha class 2C member 1"
"13117","203669_s_at","DGAT1","8694","diacylglycerol O-acyltransferase 1"
"13118","203670_at","TTLL3, ARPC4-TTLL3","26140, 100526693","tubulin tyrosine ligase like 3, ARPC4-TTLL3 readthrough"
"13119","203671_at","TPMT","7172","thiopurine S-methyltransferase"
"13120","203672_x_at","TPMT","7172","thiopurine S-methyltransferase"
"13121","203673_at","TG","7038","thyroglobulin"
"13122","203674_at","HELZ","9931","helicase with zinc finger"
"13123","203675_at","NUCB2","4925","nucleobindin 2"
"13124","203676_at","GNS","2799","glucosamine (N-acetyl)-6-sulfatase"
"13125","203677_s_at","TARBP2","6895","TARBP2 subunit of RISC loading complex"
"13126","203678_at","FAN1","22909","FANCD2 and FANCI associated nuclease 1"
"13127","203679_at","TMED1","11018","transmembrane p24 trafficking protein 1"
"13128","203680_at","PRKAR2B","5577","protein kinase cAMP-dependent type II regulatory subunit beta"
"13129","203681_at","IVD","3712","isovaleryl-CoA dehydrogenase"
"13130","203682_s_at","IVD","3712","isovaleryl-CoA dehydrogenase"
"13131","203683_s_at","VEGFB","7423","vascular endothelial growth factor B"
"13132","203684_s_at","BCL2","596","BCL2 apoptosis regulator"
"13133","203685_at","BCL2","596","BCL2 apoptosis regulator"
"13134","203686_at","MPG","4350","N-methylpurine DNA glycosylase"
"13135","203687_at","CX3CL1","6376","C-X3-C motif chemokine ligand 1"
"13136","203688_at","PKD2","5311","polycystin 2, transient receptor potential cation channel"
"13137","203689_s_at","FMR1","2332","fragile X messenger ribonucleoprotein 1"
"13138","203690_at","TUBGCP3","10426","tubulin gamma complex associated protein 3"
"13139","203691_at","PI3","5266","peptidase inhibitor 3"
"13140","203692_s_at","E2F3","1871","E2F transcription factor 3"
"13141","203693_s_at","E2F3","1871","E2F transcription factor 3"
"13142","203694_s_at","DHX16","8449","DEAH-box helicase 16"
"13143","203695_s_at","GSDME","1687","gasdermin E"
"13144","203696_s_at","RFC2","5982","replication factor C subunit 2"
